nct_id,number
NCT00147745,1
NCT00147823,28
NCT00148109,32
NCT00148122,2
NCT00148317,11
NCT00148343,26
NCT00148759,3
NCT00148941,86
NCT00149214,43
NCT00149396,23
NCT00149630,13
NCT00149747,7
NCT00149825,8
NCT00149890,31
NCT00149994,2
NCT00150176,179
NCT00150345,66
NCT00150462,46
NCT00150592,10
NCT00150618,113
NCT00150709,149
NCT00150800,496
NCT00150813,18
NCT00150969,228
NCT00151281,3
NCT00151372,58
NCT00151411,76
NCT00151476,4
NCT00151775,72
NCT00151892,159
NCT00151996,12
NCT00152009,130
NCT00152451,4
NCT00152464,76
NCT00152477,148
NCT00152503,4
NCT00152516,75
NCT00152763,33
NCT00152971,362
NCT00153062,1619
NCT00153101,68
NCT00153179,5
NCT00153816,171
NCT00153920,30
NCT00154063,34
NCT00154102,9
NCT00154284,20
NCT00154297,15
NCT00154310,65
NCT00154375,219
NCT00156065,121
NCT00156533,8
NCT00156819,5
NCT00157014,14
NCT00157157,11
NCT00157196,9
NCT00157209,10
NCT00157248,153
NCT00157755,24
NCT00157820,78
NCT00157950,1
NCT00158054,13
NCT00158184,8
NCT00158262,2
NCT00158600,9
NCT00158756,17
NCT00158860,106
NCT00159432,10
NCT00159588,8
NCT00159783,85
NCT00159822,25
NCT00159861,170
NCT00159874,124
NCT00159913,6
NCT00160199,61
NCT00160251,269
NCT00160524,478
NCT00160563,186
NCT00160615,63
NCT00160641,221
NCT00160654,33
NCT00160667,14
NCT00160680,22
NCT00160693,235
NCT00160706,286
NCT00161213,2
NCT00161616,45
NCT00162032,7
NCT00162097,1
NCT00162123,204
NCT00162136,35
NCT00162266,241
NCT00162370,51
NCT00162773,22
NCT00162942,158
NCT00162981,10
NCT00163020,2
NCT00163189,63
NCT00163215,15
NCT00163657,80
NCT00165503,16
NCT00165646,14
NCT00165672,1
NCT00165698,23
NCT00165776,9
NCT00165789,19
NCT00165841,92
NCT00165984,15
NCT00166114,20
NCT00166296,16
NCT00166439,5
NCT00166504,9
NCT00166517,7
NCT00166712,7
NCT00167245,70
NCT00167310,18
NCT00167414,10
NCT00167778,1
NCT00168038,2
NCT00168064,93
NCT00168103,8
NCT00168805,394
NCT00168818,767
NCT00168831,255
NCT00168844,201
NCT00169104,4
NCT00169442,5
NCT00170573,13
NCT00170846,43
NCT00170950,1795
NCT00171054,22
NCT00171158,246
NCT00171210,184
NCT00171223,451
NCT00171249,286
NCT00171301,17
NCT00171314,169
NCT00171340,259
NCT00171704,93
NCT00171730,15
NCT00171834,89
NCT00171873,12
NCT00171925,61
NCT00171951,16
NCT00172042,283
NCT00172185,11
NCT00174187,17
NCT00174252,2
NCT00174265,50
NCT00174291,11
NCT00174382,33
NCT00174447,38
NCT00174460,1
NCT00174785,1412
NCT00174915,300
NCT00174941,116
NCT00174954,4
NCT00174967,8
NCT00175019,422
NCT00175825,11
NCT00175877,349
NCT00175916,619
NCT00176254,1
NCT00176462,15
NCT00176488,1
NCT00176605,2
NCT00176644,1
NCT00177164,25
NCT00177216,10
NCT00177294,12
NCT00177307,1
NCT00177671,39
NCT00178126,52
NCT00178256,7
NCT00178399,13
NCT00178464,2
NCT00178633,6
NCT00178685,511
NCT00179010,3
NCT00179309,9
NCT00179413,240
NCT00179517,3
NCT00179621,239
NCT00179647,1913
NCT00179660,50
NCT00179673,43
NCT00179959,9
NCT00180414,8
NCT00180479,29
NCT00180674,5
NCT00180713,8
NCT00181155,2
NCT00181766,12
NCT00181844,29
NCT00181883,10
NCT00182078,1
NCT00182091,1
NCT00182325,87
NCT00182637,3
NCT00182689,89
NCT00183170,19
NCT00183196,53
NCT00183248,2
NCT00183274,205
NCT00183391,33
NCT00183430,6
NCT00183625,69
NCT00183872,16
NCT00184002,17
NCT00184028,10
NCT00184054,1
NCT00184093,9
NCT00184600,130
NCT00185211,91
NCT00185380,212
NCT00185458,85
NCT00185588,15
NCT00185614,4
NCT00185640,145
NCT00185731,2
NCT00185965,1
NCT00186043,28
NCT00186121,3
NCT00186186,8
NCT00186485,3
NCT00186537,10
NCT00186628,3
NCT00186888,7
NCT00186901,243
NCT00186992,35
NCT00187096,1
NCT00187135,85
NCT00187278,23
NCT00187486,1
NCT00187889,10
NCT00189202,5
NCT00189306,55
NCT00189423,1531
NCT00189462,44
NCT00189488,37
NCT00189540,8
NCT00190671,69
NCT00190684,1489
NCT00190749,57
NCT00190775,249
NCT00190983,2
NCT00191100,54
NCT00191113,50
NCT00191139,17
NCT00191152,349
NCT00191165,4
NCT00191191,226
NCT00191269,64
NCT00191282,432
NCT00191308,1
NCT00191334,17
NCT00191386,160
NCT00191451,35
NCT00191477,267
NCT00191646,324
NCT00191724,9
NCT00191789,25
NCT00191815,40
NCT00191854,106
NCT00191906,15
NCT00191945,9
NCT00191984,39
NCT00192023,82
NCT00192036,21
NCT00192075,58
NCT00192114,24
NCT00192296,1
NCT00192504,2
NCT00192647,274
NCT00193050,19
NCT00193063,4
NCT00193180,10
NCT00193206,21
NCT00193479,7
NCT00193609,4
NCT00194012,52
NCT00194025,5
NCT00194077,54
NCT00194675,7
NCT00194792,1
NCT00194987,3
